厂房室温（℃）,机器温度（℃）,转速（rpm）,扭矩（Nm）,功率（KW）,具体故障类别
29.55000000000001,37.410238790974326,1292.9820906769264,55.11988060451284,7.462875306400022,1.0
29.385797302113698,37.66050674471581,1346.8716879610126,55.44630404682949,7.820031985649076,1.0
25.75,36.450000000000045,1600.0,33.5,5.612565445026178,0.0
27.311085289076658,36.87081396680748,1381.9186033192525,54.1904659420634,7.8274967874328345,3.0
30.272150648476554,38.83981440274498,1368.5747815701343,54.74551310579195,7.845183125150075,1.0
24.25,35.05000000000001,1585.0,46.2,7.667748691099477,0.0
27.650000000000038,37.150000000000034,1777.0,30.1,5.600806282722513,0.0
25.650000000000038,35.05000000000001,1450.0,44.7,6.786910994764399,0.0
26.950000000000045,36.150000000000034,1448.0,45.8,6.944335078534031,0.0
28.97058233344414,36.753356285809275,1284.3065119087184,56.93825299966765,7.656406627951397,1.0
30.18896359742952,38.35285995717247,1311.420925053482,53.53038372591213,7.347709110037327,1.0
29.55000000000001,37.45927783455216,1289.3041624085893,55.095361082723926,7.438342947165145,1.0
25.20665877002521,35.855624761505204,1358.7005731685279,63.79553381772413,9.062604103741009,2.0
26.25,35.450000000000045,1542.0,41.8,6.749277486910994,0.0
26.350000000000023,37.650000000000034,1600.0,32.4,5.428272251308901,0.0
30.15218417420939,39.37212176923197,1281.5669253619726,69.43737899094876,9.321903755376699,2.0
24.55000000000001,35.25,1738.0,27.7,5.041109947643979,0.0
30.110214544468683,38.266235998915555,1306.9322290347143,53.71150654772206,7.3471203474843,1.0
29.9769767398729,39.24972867821682,1584.3183478011765,55.06813946802968,7.748908912640919,2.0
28.03824190028045,37.960179790748974,1314.6962407388853,66.20620594213062,9.096373146647181,2.0
29.850000000000023,39.35000000000002,1507.0,37.9,5.980659685863874,0.0
27.05000000000001,36.650000000000034,1374.0,47.7,6.862806282722514,0.0
27.251152389836683,36.75,1395.5172858475498,46.29539044065338,6.764965203630717,3.0
27.534965899267437,37.02744884890115,1366.4806266208748,63.84169222894033,9.13025434158877,3.0
29.29486807734053,38.24385710554878,1607.3631792080157,36.92293495272571,6.150217449243309,3.0
28.925986887889803,36.81717115335754,1291.5500069592463,57.026447203596796,7.710458409093411,1.0
26.086137718037918,35.9694587712512,1344.0921696106798,69.39729385625586,9.752226097636449,2.0
27.3283005969108,36.67169940308924,1592.8556042754112,59.7803581464692,8.648224703733034,2.0
28.942376320726126,37.8169951367624,1565.8008519303971,37.750316283207866,6.1242917044222525,3.0
25.350000000000023,34.75,1260.0,54.2,7.150994764397906,0.0
25.650000000000038,36.450000000000045,1309.0,57.4,7.867706806282722,0.0
27.457624914867065,36.31099931893617,1378.7800136212768,48.94960993146265,7.065004879045845,3.0
27.43622710080423,36.31886449597906,1382.3413928632879,47.3658607136712,6.855744263590699,3.0
29.265646517145793,38.51091375951305,1294.9916384546498,70.50122417942507,9.565826933146363,2.0
24.75,35.950000000000045,1435.0,44.7,6.7167015706806295,0.0
27.55000000000001,38.55000000000001,1864.0,23.6,4.606324607329843,0.0
29.429196122131867,37.815996768443206,1354.416077557363,55.31520904835903,7.845439869827003,1.0
28.3883674059755,37.79350345547754,2154.452586522128,30.44469479262016,5.235958134963714,2.0
27.95169682345027,37.393222088162744,2311.168806695072,23.6763007634791,4.545208271840718,2.0
30.828280524874877,40.030090481135296,1278.7948782949131,68.26334813556025,9.095548682981358,2.0
24.622193336135457,35.18118102714986,1367.3651315793857,65.45590513574919,9.357619486610226,2.0
28.333259927154476,37.74298826655827,2174.2300483656736,29.59052887089429,5.148786053820656,2.0
30.50291607000406,38.89125178998791,1350.3627326984279,53.59459466992341,7.58016809483478,1.0
29.646110462960962,37.394165694441426,1307.5949824999457,54.95972384259763,7.524523056789219,1.0
27.371600750383244,36.916200562787424,1377.3799437212583,57.00443489281986,8.207213881213514,3.0
30.4678599996476,38.99642000105733,1364.0346001374517,54.26066000669636,7.751234376588944,1.0
30.761589576167303,39.98428954985407,1272.3739457757788,68.52473166619646,9.128851389483426,2.0
27.438632525754066,36.306837371229875,1381.9324706218158,47.40675293781842,6.85968790112364,3.0
25.150000000000038,34.85000000000002,1637.0,30.8,5.279539267015707,0.0
30.008020312037864,39.2781852860347,1573.1771546797506,55.54931483658662,7.798015365152084,2.0
27.36656316701052,36.77484475051575,1394.267077443268,47.50662720001821,6.93071186968281,3.0
29.59406007324873,37.698466080573624,1277.511424175177,54.898661831527946,7.343261349657587,1.0
29.368537743720683,38.29333060432742,1620.6766825105867,34.835645979233114,5.9014207720853555,3.0
27.466192393284942,36.987144294963706,1370.2855705036304,61.40294628774908,8.800749201990502,3.0
30.460691965985163,39.01792410204465,1366.8301332658034,54.39685264628273,7.786212879702771,1.0
29.55000000000001,37.48118617710126,1287.6610367174073,55.084406911449385,7.427383040722393,1.0
29.55000000000001,37.648167533843406,1275.137434961747,55.000916233078314,7.34384864995427,1.0
29.350000000000023,38.35000000000002,1626.0,36.0,6.129424083769633,0.0
29.945675491465607,38.08524304061218,1297.5535030135388,54.08994636962913,7.345890181161325,1.0
29.778276466467425,38.1068970553895,1347.434470670652,54.50068824490939,7.691259671669161,1.0
25.30174948808504,35.54709587819964,1356.5619312150588,67.28547939099809,9.540794034385302,2.0
27.548928643868926,37.0491964829017,1364.0803517098313,65.25018193990454,9.319895349830254,3.0
29.05000000000001,38.450000000000045,1594.0,36.8,6.142324607329843,0.0
30.26764050826305,38.439404559089354,1315.9055089709932,53.349426830995014,7.348297333224083,1.0
27.539474264519445,36.96579411615544,1365.6841176768912,63.436944819939,9.068916935687625,3.0
30.179863805288658,38.644795707932936,1355.63600392579,55.05585482857546,7.811646072766987,1.0
28.903658195551124,36.76804803021245,1288.1560457237672,57.10683049601604,7.7015082274942,1.0
25.350000000000023,35.55000000000001,1450.0,43.9,6.66544502617801,0.0
24.850000000000023,36.25,1490.0,40.5,6.318848167539267,0.0
28.92030953659041,36.75044219512916,1279.4977890243545,57.06898295120301,7.6461441438617115,1.0
29.55000000000001,37.55971715556151,1281.771213332889,55.04514142221926,7.388096993644505,1.0
28.684873417236773,37.82649233810937,1522.284976614598,46.843374424939334,7.26066658755596,3.0
27.05838574729646,37.2319083256933,1329.9237350082312,65.37200408215776,9.084687526642442,2.0
30.367063448772797,38.92559517315914,1366.2829836489502,54.739955430195984,7.830177367317648,1.0
26.950000000000045,36.25,1563.0,40.8,6.677528795811518,0.0
25.534496849878117,35.67242138070361,1352.8618449506562,67.91210690351791,9.6035311498098,2.0
28.05000000000001,36.650000000000034,1709.0,27.0,4.831727748691099,0.0
