转速（rpm）,扭矩（Nm）,功率（KW）,使用时长（min）,具体故障类别
1615.0,30.13088916492613,5.0954330891471935,231.81937422364527,4.0
1561.1102764683017,34.262173003683486,5.583594001383926,217.24809107191112,4.0
1313.7000407903022,60.50504690884746,8.323509845706571,41.35002039515107,2.0
1329.1022742701014,44.22635804922476,6.152990022698586,207.19844794374313,4.0
1398.5031317853075,50.61405684557706,7.411819955188274,220.34377261769177,1.0
1454.6304941015862,42.59618823730172,6.481292138952013,207.47575022686206,4.0
1701.0,28.4,5.058471204188481,127.0,0.0
1312.883698132694,52.46510943980819,7.212657889679015,25.860829876896535,2.0
1564.4023034023726,37.60131250663988,6.047015121838449,115.63979701315094,5.0
1329.1386087410226,54.05394362684916,7.523239401372645,206.93069562948867,1.0
1662.6560387546992,29.923638925376995,5.205221989046929,218.31739674199545,4.0
1806.0,27.6,5.219434554973823,64.0,0.0
1559.9662377042239,37.98379994905804,6.091091292558992,114.31883522747998,5.0
2492.3043749158896,13.098855264928643,3.418316253444999,45.77779678306551,3.0
1603.0,37.6,6.311287958115184,69.0,0.0
1362.6360459494986,60.2151938734002,8.591747979889636,205.7879846835005,1.0
1321.7819136194819,61.6609043190259,8.533941601364539,44.11934800608812,2.0
1372.599662207202,51.62010133783937,7.418772851010049,162.06644147146807,2.0
1486.9519059302597,38.70721411046104,6.02564637247056,211.3760836175469,4.0
1286.2197021826878,61.759546392883806,8.31815105516823,215.06364261922536,1.0
1682.901336440079,27.886863337047888,4.907918363687378,229.43431668523945,4.0
1425.0,49.3,7.356282722513089,199.0,0.0
1229.841377621263,65.24719923241233,8.40268071686597,208.97947859460334,1.0
1376.2615836406624,51.24437366024967,7.384420953266145,221.98676155352862,1.0
1592.5466945905061,35.17464055530746,5.767376118441452,124.02057127806185,5.0
1703.0,30.4,5.421068062827225,85.0,0.0
1575.2979380719587,38.08722681208454,6.282426834289394,224.78731949354636,4.0
1430.4065371954464,49.48901942068303,7.411537124004779,229.5103847560615,1.0
2203.0,16.6,3.829298429319372,169.0,0.0
1613.0960820882915,34.16275681789534,5.7527717735429205,215.70726229956634,4.0
1328.9294168614936,68.69382397538068,9.560260985325913,57.04411446156659,3.0
1329.2644305320696,46.437207512682406,6.463274214767124,61.33073344606582,2.0
1925.0,22.0,4.43455497382199,74.0,0.0
1441.1377796556076,44.43777965560753,6.705872450484761,211.44449139018832,4.0
1320.171201160784,67.47431982588242,9.327498103473241,19.828798839216088,3.0
1207.2560453353797,75.83015128758777,9.579986075746346,3.6194185042397287,3.0
1498.6364036403577,36.81362936293741,5.775918614269956,205.64772477247766,4.0
1323.619894292331,51.581758774009096,7.152794377086323,187.0,2.0
1289.7536238315768,69.91787461052563,9.442649703468616,137.9734326315703,3.0
1190.6949088626363,63.97802683951247,7.967266148833943,206.91198076913395,1.0
1337.7208280209445,66.31580889634499,9.289450121437984,193.30207005236142,1.0
1290.701833319582,67.68945000412545,9.14808627096646,5.403666639163722,3.0
1319.416689280907,59.79445499775654,8.264518753214281,90.13889642696896,2.0
1403.9445635120494,59.03635519970105,8.67959590803336,194.01332331776587,1.0
1335.622383795643,63.37831385885236,8.862646623683004,204.12587206811904,1.0
1582.5070293633821,36.04028280155728,5.867128923886261,121.03098207709598,5.0
1418.2067134563863,44.62836770707014,6.622304838617774,208.28845984940352,4.0
1365.3926672568846,50.23193398257303,7.182120305095006,196.84186973579978,2.0
1391.212108473596,46.33106054236798,6.749399024539738,204.24242169471918,4.0
1959.0,22.3,4.574418848167539,157.0,0.0
1662.7377743592322,29.122609677470656,5.06996669634099,144.92191503141578,5.0
1632.1998411130592,31.755658144029574,5.3733876217282255,135.82839713144426,5.0
1377.1202416828967,53.45190332684128,7.707780503779625,213.31963747565482,1.0
2574.347753869978,12.616306153250548,3.4008277297140186,87.64891782761131,3.0
1366.4152266587448,52.08624467122176,7.452286329335099,218.70761332937238,1.0
1495.466097926853,45.616524481713256,7.144064305252595,233.1633261419198,4.0
1358.799099198395,53.06015764028087,7.549257188780737,210.59932439879626,1.0
1284.0,70.36742713234455,9.460918998736165,95.78902205888812,3.0
2653.4334509767214,11.990426143828499,3.33108971290322,73.06100652587645,3.0
1365.4916141799583,66.62383825218159,9.52589163355762,80.49161417995835,3.0
1476.3828895325637,45.73760041223263,7.0717521165379456,233.62514344604662,4.0
1589.8792421279848,35.4046342342982,5.793879578517819,123.22626321144436,5.0
1584.9413530082763,35.8303900072864,5.842941801363213,121.7558695624645,5.0
1311.2968492979328,53.337495104368166,7.324552022687989,87.20311153701245,2.0
1296.403465812954,64.40759088345442,8.743951318474258,212.86551139568198,1.0
1428.4006026910595,44.749978475319296,6.691242606024206,206.87505381170175,4.0
1482.0,43.6,6.765989528795812,154.0,0.0
1505.0,39.0,6.146073298429319,131.0,0.0
1449.0,48.8,7.404314136125654,181.0,0.0
1376.997912770193,55.88747352226593,8.057434612009772,208.43006230700502,1.0
1512.7155556441296,39.38637033309542,6.233045532593518,221.55851844839734,4.0
1208.4353381077124,75.823565469631,9.588073217166023,2.7124316554188956,3.0
1489.6828088143325,44.04379337334199,6.789418283493494,93.3899919580457,5.0
1292.806302739538,60.36917759302208,8.16692514861508,18.59684863023092,2.0
1269.2429923843715,58.865435267157345,7.823675890756243,191.8410990031711,1.0
1338.9519862268219,68.97878191947528,9.670376557795802,53.43830564081612,3.0
1346.3463206041536,47.845670843549456,6.743682058685565,170.79220763750791,2.0
1589.1525276978837,35.46729316738247,5.801100118398368,123.00986380336981,5.0
1582.3521871121204,36.05363364455496,5.868667416317563,120.98487349560918,5.0
1416.167307206623,62.72705685337173,9.30249014768476,115.8409696040314,3.0
1359.2652337744366,52.9785840894736,7.540254202126196,210.94892533082745,1.0
1653.0,29.7,5.140743455497382,34.0,0.0
1595.1558891901361,33.64769963704707,5.611407655930595,230.82229246108128,4.0
1455.4555941453073,42.68437477199507,6.501951372704695,213.9523034715971,4.0
1534.075469811759,37.48725131567541,6.022454223627433,207.7710348292517,4.0
1511.0,42.9,6.787633507853403,26.0,0.0
1297.4070740775157,52.217696992052865,7.095296717985117,49.34513657170794,2.0
1331.0518476750426,66.8118589524276,9.307597159700677,180.5881410475724,1.0
1362.9575214053996,51.79441071123678,7.392009173267217,90.00670714651586,2.0
1549.0,37.2,6.033801047120419,67.0,0.0
1335.9950066668687,69.26600088891583,9.690021010034307,57.52746333222244,3.0
1336.7526201231792,69.44155981930592,9.719911865913925,51.97031441478149,3.0
1583.6706946458003,37.749697901564986,6.2559077698653045,215.04191841536252,4.0
1404.5336690148135,46.39766834507407,6.8237835497607255,206.90673380296272,4.0
1541.4645332774555,39.57905801963273,6.274921816817364,108.80943879817562,5.0
2012.0,21.1,4.445361256544503,115.0,0.0
2712.180700500585,10.580514964088474,3.000895909190286,82.10995120793314,3.0
1312.1636964114114,72.5687126081091,9.970802901604932,51.94653540540258,3.0
1466.0,42.5,6.524083769633508,187.0,0.0
1282.0392692929076,68.10557780730497,9.142564104032186,114.37706359751775,3.0
1347.2906480437518,54.223957122422846,7.650360335955997,184.22230307109683,2.0
1277.4760280759922,68.89840187173282,9.21711065189262,69.01598128267187,3.0
1756.2975713885726,28.120367265452888,5.142909223142809,208.74413132912227,4.0
