厂房室温（℃）,机器温度（℃）,转速（rpm）,扭矩（Nm）,功率（KW）,使用时长（min）,是否发生故障
27.305427032375547,37.17771351618781,1333.1478054196682,54.55773728356942,7.609628141932345,207.05542703237555,1.0
29.961728922403793,38.45781928160256,1314.8789458093481,53.286243920101995,7.335176087236578,69.96090359198737,1.0
29.34892885105274,39.299821475175484,2707.5017852482456,9.762455368793864,2.7677247690957256,94.28481234078623,1.0
28.461025813934008,37.363272192701274,1379.7514039867294,55.023942491845666,7.950472066616747,117.89535780757818,1.0
26.982690691948,37.657136855806876,1603.4068980898062,31.496144151687982,5.274373949986057,197.5438867977713,1.0
30.185908901877475,38.2215150675011,1307.0712123312474,54.42015275435878,7.448358682863141,45.1037911343324,1.0
24.25,34.950000000000045,1734.0,27.7,5.029507853403141,70.0,0.0
28.970310756138044,37.13721622615673,2659.8649981610056,11.323297356940355,3.1526202832570114,56.526888760631365,1.0
25.75,35.35000000000002,1555.0,37.6,6.122303664921466,142.0,0.0
30.34300359862312,38.64300359862313,2631.296866947013,11.672363686022228,3.2086733975330546,85.59869357079141,1.0
27.438743988414142,37.95375200386198,1379.7625257639395,62.51880582186899,9.034755839519697,137.09997709872042,1.0
26.450000000000045,36.150000000000034,1577.0,39.8,6.57220942408377,48.0,0.0
25.350000000000023,36.25,1565.0,33.7,5.522565445026179,150.0,0.0
29.12398780405875,37.065991869372525,1378.4200406531377,51.737752015860835,7.467525469878268,165.42004065313756,1.0
27.75,37.55000000000001,1268.0,56.3,7.475225130890052,161.0,0.0
26.650000000000038,36.05000000000001,1678.0,29.8,5.236062827225131,202.0,0.0
29.37332516789883,37.96765462341119,1373.588916107004,56.22435395181593,8.08831528293907,120.35437844811952,1.0
29.825520196143355,38.290824781352086,1348.5100272990026,47.261218340834866,6.673955298424279,210.97956877813075,1.0
27.25,37.85000000000002,1433.0,46.1,6.917413612565445,199.0,0.0
27.550543894781274,36.400407921085964,1372.4092145215411,56.92980329887851,8.180842510254474,42.27643564623587,1.0
24.850000000000023,35.55000000000001,1614.0,30.7,5.188460732984293,106.0,0.0
