厂房室温（℃）,机器温度（℃）,转速（rpm）,扭矩（Nm）,功率（KW）,是否发生故障
29.680424493876522,37.6758184924357,1305.4012198126932,55.052969016569456,7.51899943720815,1.0
23.950000000000045,34.75,1420.0,39.8,5.917905759162303,0.0
27.600632114058513,36.39058997312124,1379.5481036578246,47.95147493280309,6.926530038427799,1.0
29.371331544204217,37.97649882588402,1329.0533288605104,60.103511237967346,8.360561184295044,1.0
24.150000000000038,35.650000000000034,1564.0,38.0,6.223246073298429,0.0
26.650000000000038,35.85000000000002,1467.0,37.3,5.729748691099476,0.0
28.707669986857216,37.540970928875055,1327.394174967143,64.27213539505323,8.929338249614545,1.0
27.650000000000038,37.150000000000034,1777.0,30.1,5.600806282722513,0.0
24.509766284687323,35.16354890166107,1714.2486623886684,48.4951497126261,7.478100563379552,1.0
29.150000000000038,37.650000000000034,1438.0,43.8,6.595225130890052,0.0
27.950000000000045,37.950000000000045,1618.0,29.5,4.998010471204188,0.0
28.05536004256039,37.07549096712775,1388.5300733269867,49.30601466539734,7.172902427564421,1.0
30.150000000000038,38.05000000000001,1607.0,31.7,5.334230366492147,0.0
25.05000000000001,34.75,1491.0,39.7,6.198188481675393,0.0
28.514080628106655,37.09006365376839,1366.5589815397059,52.02433524318017,7.439539906915424,1.0
29.132884757152347,37.82069244000882,1374.9513457285432,51.52673110002204,7.416882973278415,1.0
30.724591001621455,39.81847569530112,1271.3858738411648,67.2880289400396,8.957519145974281,1.0
25.05000000000001,35.85000000000002,1562.0,37.7,6.166219895287958,0.0
30.475246510688958,39.35814740434883,1272.1530876594186,64.67950195797658,8.614771393702227,1.0
27.450000000000045,37.450000000000045,1419.0,39.6,5.884020942408377,0.0
30.075797141545305,38.60776025818987,1365.8972337483447,54.90616597509933,7.852685866481079,1.0
23.350000000000023,34.25,1432.0,49.2,7.377424083769634,0.0
27.350000000000023,38.25,1679.0,27.5,4.8348167539267015,0.0
25.0547336988569,35.56633134260935,1450.9917148037025,54.83798830031563,8.192792332302076,1.0
28.702936040625726,37.83234936164821,1383.176506383518,50.417634763922095,7.297509959104448,1.0
29.25990317386347,38.217758729644146,1609.5770634164805,35.4166047658608,5.946240630904386,1.0
28.11892119184624,37.42530870946857,1387.2469129053143,49.019538610783336,7.116703483566715,1.0
28.077141873831728,36.650000000000034,1302.67050503427,65.28620063707238,8.923219851512828,1.0
25.55000000000001,36.150000000000034,1402.0,45.3,6.650324607329843,0.0
28.20712765093274,37.50319148340189,1365.5861701919066,62.87542556379995,8.989391137329973,1.0
28.79455361159556,37.98578446459713,1374.5473851180095,56.42099102724493,8.122950868188985,1.0
28.381016155087714,37.22444944004756,1360.927036499554,56.61679493989894,8.071133854704208,1.0
27.405876992023593,36.67539863273802,1322.7554669958386,72.34790433726384,10.023055081393554,1.0
25.95918370986973,36.041947070733336,1391.425262075394,51.72073895298185,7.532806694005626,1.0
26.150000000000038,35.85000000000002,1508.0,35.0,5.526701570680628,0.0
29.571014047915163,39.17101404791513,1410.462895525823,53.57567989607896,7.9131101104108215,1.0
30.405803146739988,38.53370472010997,1328.1066849619795,53.060492133150056,7.378184767670906,1.0
27.542554818174775,36.99043854539809,1365.1912290920384,63.982202816932556,9.144337921159899,1.0
28.91558500191241,37.788864252008,1562.4653327380895,37.92713898737839,6.137828193588739,1.0
25.850000000000023,36.950000000000045,1555.0,38.6,6.285130890052356,0.0
27.76443065105901,37.36443065105897,1398.178128427201,48.444983049007476,7.094983212534014,1.0
25.59951517374101,36.17947118009397,1394.667399894117,59.35308403600028,8.662793778869096,1.0
26.650000000000038,36.05000000000001,1435.0,42.6,6.401151832460733,0.0
27.344098804928766,36.75,1396.9114820739312,45.923604780285025,6.717397077582278,1.0
29.95724081682328,38.40182920028913,1273.7469513328515,59.260365468304926,7.902723228641088,1.0
29.743708222768802,37.8630790450457,1286.041368697821,54.554471087631775,7.344380185037245,1.0
28.05000000000001,37.35000000000002,1505.0,43.6,6.8709947643979055,0.0
27.238561757083577,37.42197423520849,1401.2764586979174,57.10600404270805,8.373905244098568,1.0
28.75472580797795,38.029171556333516,1398.3847727487796,51.27695454975593,7.513224926968328,1.0
28.528734073130853,37.42354423549213,1326.946835182827,65.39607660314695,9.082691480282886,1.0
27.350000000000023,37.35000000000002,1403.0,47.7,7.00765445026178,0.0
27.650000000000038,36.25,1474.0,40.7,6.28186387434555,0.0
30.506839854574444,39.41647357767587,1272.0558773705402,65.0100169401632,8.65819945406567,1.0
27.40545215779108,36.92770584889812,1420.1005465569106,45.33388628659574,6.711339925138449,1.0
25.25,36.150000000000034,1984.0,19.2,3.9887748691099474,0.0
28.07563128921462,37.41250433738939,1365.2687651808628,63.36060179496681,9.056872819603125,1.0
26.640237466980135,36.49526674815862,1368.8816526162043,64.63432009779032,9.263386342552412,1.0
30.350000000000023,39.650000000000034,1404.0,55.8,8.203476439790576,0.0
24.962035032150567,35.44904785695437,1389.2692649343794,55.92493337795995,8.13242223395686,1.0
23.841040913038487,34.80138344409615,1385.1620551863462,61.86985499565771,8.974436359911632,1.0
29.641343273570797,38.48639076642811,1376.636092335719,52.664124806426955,7.588033572951773,1.0
30.42459724640802,38.645497705340006,1334.5080550718399,52.99260642504798,7.4057956873980135,1.0
27.450000000000045,36.85000000000002,1483.0,44.0,6.832670157068063,0.0
28.288520027423136,37.337202232886774,1360.7176887670084,61.27916873958523,8.733258417524945,1.0
29.930913507195875,38.436534144867814,1363.9215478253977,55.02470713047613,7.858221924627472,1.0
29.31227884325523,38.25419397791667,1614.9284905065076,35.13650879476577,5.924631762652077,1.0
27.55000000000001,39.05000000000001,1335.0,49.0,6.849738219895288,0.0
29.53885399421523,37.240446280755904,1304.6019283648293,55.233438017354345,7.545217498214883,1.0
25.450000000000045,36.450000000000045,1449.0,42.5,6.448429319371728,0.0
26.195048398455107,35.716645569343406,1381.8824274023175,52.21194713567765,7.5570431700941905,1.0
29.05000000000001,38.55000000000001,1413.0,46.5,6.880052356020943,0.0
26.88278443226527,36.53740151341673,2449.259809677952,17.583465948123507,3.977006216542091,1.0
24.850000000000023,34.75,1482.0,37.8,5.865926701570681,0.0
27.476890017434478,36.903780034868944,1349.3780034868923,68.04162434620767,9.606732383463145,1.0
25.87375693933022,36.02790057276233,1372.9944749596916,64.07348068731477,9.210113449998548,1.0
29.614845651416687,39.09180543137492,1449.3182399558534,50.39002818741487,7.583086620620288,1.0
28.05000000000001,36.650000000000034,1709.0,27.0,4.831727748691099,0.0
25.75,35.450000000000045,1623.0,31.0,5.268376963350786,0.0
26.72652030465946,36.49820126222993,1393.0843682262907,48.485481958733246,7.071384082824299,1.0
27.406417076625775,36.4679146168713,1387.4090969736242,46.859090302637576,6.806871431280545,1.0
27.25,36.450000000000045,1571.0,33.6,5.527287958115184,0.0
27.75,36.35000000000002,1469.0,43.4,6.6758743455497385,0.0
27.650000000000038,37.75,1425.0,44.0,6.56544502617801,0.0
25.55000000000001,37.05000000000001,1613.0,36.0,6.08041884816754,0.0
23.584372509500156,34.607108316537555,1385.7984412357498,61.8061810275871,8.96898143529397,1.0
25.283778862858718,35.32935601671494,1383.249331705712,55.56086267899438,8.04988731542179,1.0
29.983457453647592,37.90018618047137,1316.7033512484848,54.11635636588105,7.459540488824075,1.0
30.150000000000038,38.25,1692.0,27.9,4.943120418848167,0.0
28.076109121265254,37.35080663364745,2212.2791276083044,20.910889554240498,4.348671404947023,1.0
25.950000000000045,37.25,1369.0,54.5,7.812617801047121,0.0
27.479741814631033,36.909483629262056,1349.9483629262036,67.93468195133684,9.595805968863987,1.0
25.450000000000045,36.450000000000045,1593.0,33.3,5.554649214659685,0.0
27.979063641849862,37.32783223522867,1388.2216776477135,48.68472811230715,7.073404668913226,1.0
28.972581334429158,38.002786425039375,1831.6859243832732,29.712616738031368,5.33991963333602,1.0
25.350000000000023,36.25,1573.0,33.6,5.534324607329843,0.0
26.650000000000038,37.05000000000001,1411.0,49.7,7.343109947643978,0.0
29.350000000000023,38.35000000000002,1626.0,36.0,6.129424083769633,0.0
24.25,35.75,1645.0,30.8,5.305340314136125,0.0
30.221596485254175,38.78006857348217,1367.8854066171018,54.78687560297389,7.8471148187357445,1.0
