转速（rpm）,扭矩（Nm）,功率（KW）,使用时长（min）,是否发生故障
1359.21874397314,57.11171016172436,8.128637236450748,194.32811595970986,1.0
1630.0,33.3,5.683664921465968,116.0,0.0
1360.9828364029406,52.67800362948541,7.507080191149489,212.23712730220538,1.0
1356.6377323811216,63.43785784939101,9.01555639656764,177.45283452359809,1.0
1428.0,47.9,7.162429319371728,174.0,0.0
1372.5429277293347,59.64238948527508,8.571600529500246,211.61219447904668,1.0
1284.0373004120504,67.69626995879497,9.10183309158732,10.339550068675052,1.0
1538.0,36.1,5.813801047120419,198.0,0.0
1269.440373062355,65.71571705432264,8.73769519396085,15.460707364193395,1.0
1311.0540255773137,58.2752143524807,8.000291340166752,40.486230195822614,1.0
1721.0,30.0,5.406282722513089,87.0,0.0
1296.0,54.9,7.450303664921465,69.0,0.0
1502.0,40.9,6.432649214659685,153.0,0.0
1278.0,54.0,7.226387434554974,18.0,0.0
1336.9884310623097,64.05950871808362,8.968990793555367,194.0,1.0
1438.4622880837785,46.20328393716612,6.958648357271704,216.88199170677527,1.0
1526.0,41.7,6.663267015706807,85.0,0.0
1378.0,52.688795567519485,7.602634585554119,213.21838350364598,1.0
1528.0,33.8,5.408,22.0,0.0
1443.468348526772,59.7265825736614,9.027503487330328,167.04220196430407,1.0
1326.0,49.7,6.9007539267015705,78.0,0.0
1744.0,26.8,4.894157068062827,94.0,0.0
1438.0,46.6,7.016837696335079,63.0,0.0
1734.0,30.6,5.556062827225131,154.0,0.0
1312.202251787517,58.78258955564456,8.07733136317027,40.60112589375851,1.0
1523.0,39.5,6.299319371727749,137.0,0.0
2508.6681672249415,12.928852638872309,3.395727448123133,13.395388613067553,1.0
1426.2767670771052,52.98241258816565,7.902380154662218,94.89524744770131,1.0
1271.8947436849269,63.73433825087902,8.49228395617123,100.16542135420222,1.0
1455.0,48.0,7.313089005235602,125.0,0.0
1442.5701086259385,44.67288051146758,6.7478126848520565,229.8644025573379,1.0
1318.0,52.7,7.273151832460734,13.0,0.0
1641.1406402437847,29.05445966717455,4.99305183178859,185.98629954290362,1.0
1365.0,50.9,7.275235602094241,183.0,0.0
1601.0,34.0,5.699895287958115,181.0,0.0
1374.2499937132955,43.62812963644458,6.276995728875991,26.093731925724537,1.0
1247.6329059836085,58.48326522464218,7.649476806492209,220.58149038422022,1.0
1380.0,47.6,6.8783246073298425,130.0,0.0
1423.0,46.2,6.884041884816755,186.0,0.0
1460.0,46.5,7.10890052356021,143.0,0.0
1287.3679443218844,65.94994693450514,8.886031503380769,109.89989386901027,1.0
1476.0,48.7,7.52682722513089,189.0,0.0
1262.5973290428697,58.90616653258968,7.788136863274399,206.81500402230975,1.0
1379.0,51.0,7.364293193717278,46.0,0.0
1435.0,38.5,5.785078534031413,224.0,0.0
1897.0,23.6,4.687874345549739,75.0,0.0
1237.9128696385403,64.64087988040879,8.379667025516051,178.41694047299282,1.0
1442.0,48.3,7.293047120418847,52.0,0.0
1661.0,30.0,5.217801047120419,158.0,0.0
1618.0,35.2,5.9637277486911,31.0,0.0
1379.2202364358993,51.254165505129464,7.402245896696124,217.55952712820152,1.0
1315.1553698850305,61.950564127490274,8.531317378630785,42.183618955036124,1.0
2218.0,17.0,3.9482722513089006,123.0,0.0
1498.0,39.3,6.1645445026178,23.0,0.0
1390.0,57.0,8.296335078534032,92.0,0.0
1447.0,39.3,5.954670157068063,110.0,0.0
1440.3749751074884,52.77495519347887,7.96227973847996,94.62482575241782,1.0
1408.998278373551,59.310498977262604,8.753483892533882,212.11187627842173,1.0
1523.0,41.9,6.68206282722513,165.0,0.0
1292.0117081592455,67.29648755222635,9.104236324763269,8.023416318490984,1.0
1335.0358781533228,57.082060923338574,7.979744931629153,194.21526891993713,1.0
2686.8841509851295,12.035012910291519,3.386141646410367,51.145997809629314,1.0
1343.6698477255543,49.966030454889165,7.029172226098915,63.73301522744458,1.0
1496.2477875554666,44.45796448870646,6.96598316326599,228.73451288826595,1.0
1399.8690329142662,48.32126109178562,7.083566579733545,70.25464731071031,1.0
1338.237701828767,51.973225691324245,7.2810996030417465,62.34262109726023,1.0
1331.5030062082078,52.20120248328315,7.2781738675944005,154.83834368034644,1.0
1436.0,48.2,7.247664921465968,175.0,0.0
1376.4143746992659,53.68245328288542,7.737017835253645,215.10359367481647,1.0
1460.1778432258277,59.24676129312699,9.058444012495867,107.35340123414979,1.0
1315.7772586062395,65.42000955885324,9.01140755803553,64.4363766711635,1.0
